Dataset	Author	Consortium	PMID	Date	Trait	EFO	Analysis	Source	Outcome	Exposure	Covariates	Outcome_Units	Exposure_Units	Methylation_Array	Tissue	Further_Details	N	N_Cohorts	Categories	Age	N_Males	N_Females	N_EUR	N_EAS	N_SAS	N_AFR	N_AMR	N_OTH
Leg_Right_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg lean mass right	-	-	-	DNA methylation	Leg lean mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Legs_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mass both	-	-	-	DNA methylation	Leg bone mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Legs_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg lean mass both	-	-	-	DNA methylation	Leg lean mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Trunk_Left_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mass left	-	-	-	DNA methylation	Trunk bone mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk lean mass left	-	-	-	DNA methylation	Trunk lean mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Total_Left_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mass left	-	-	-	DNA methylation	Total bone mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_Bone_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mass right	-	-	-	DNA methylation	Total bone mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Gynoid_Bone_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid bone mass	-	-	-	DNA methylation	Gynoid bone mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Gynoid_Lean_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid lean mass	-	-	-	DNA methylation	Gynoid lean mass	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arms_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral density both	EFO_0007591	-	-	DNA methylation	Arm bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arms_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral content both	EFO_0007621	-	-	DNA methylation	Arm bone mineral content both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arms_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm area both	-	-	-	DNA methylation	Arm area both	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Legs_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral density both	EFO_0007591	-	-	DNA methylation	Leg bone mineral density both	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Legs_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral content both	EFO_0007621	-	-	DNA methylation	Leg bone mineral content both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Legs_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg area both	-	-	-	DNA methylation	Leg area both	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral density	EFO_0007591	-	-	DNA methylation	Trunk bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral content	EFO_0007621	-	-	DNA methylation	Trunk bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk area	-	-	-	DNA methylation	Trunk area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Ribs_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Ribs bone mineral density	EFO_0007591	-	-	DNA methylation	Ribs bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Ribs_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Ribs area	-	-	-	DNA methylation	Ribs area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Pelvis_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Pelvis bone mineral density	EFO_0007591	-	-	DNA methylation	Pelvis bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Pelvis_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Pelvis bone mineral content	EFO_0007621	-	-	DNA methylation	Pelvis bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Pelvis_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Pelvis area	-	-	-	DNA methylation	Pelvis area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Spine_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Spine bone mineral density	EFO_0007701	-	-	DNA methylation	Spine bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Spine_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Spine bone mineral content	EFO_0007621	-	-	DNA methylation	Spine bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Spine_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Spine area	-	-	-	DNA methylation	Spine area	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Arm_Left_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral density left	EFO_0007591	-	-	DNA methylation	Arm bone mineral density left	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Left_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral content left	EFO_0007621	-	-	DNA methylation	Arm bone mineral content left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	688	1	-	48	-	688	688	-	-	-	-	-
Arm_Left_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm area left	-	-	-	DNA methylation	Arm area left	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	683	1	-	48	-	683	683	-	-	-	-	-
Arm_Right_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral density right	EFO_0007591	-	-	DNA methylation	Arm bone mineral density right	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Right_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm bone mineral content right	EFO_0007621	-	-	DNA methylation	Arm bone mineral content right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arm_Right_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Arm area right	-	-	-	DNA methylation	Arm area right	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Leg_Left_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral density left	EFO_0007591	-	-	DNA methylation	Leg bone mineral density left	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Left_BMC___g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral content left	EFO_0007621	-	-	DNA methylation	Leg bone mineral content left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Leg_Left_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg area left	-	-	-	DNA methylation	Leg area left	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Leg_Right_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral density right	EFO_0007591	-	-	DNA methylation	Leg bone mineral density right	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Right_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg bone mineral content right	EFO_0007621	-	-	DNA methylation	Leg bone mineral content right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Right_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Leg area right	-	-	-	DNA methylation	Leg area right	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral density left	EFO_0007591	-	-	DNA methylation	Trunk bone mineral density left	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk area left	-	-	-	DNA methylation	Trunk area left	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk bone mineral density right	EFO_0007591	-	-	DNA methylation	Trunk bone mineral density right	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Trunk area right	-	-	-	DNA methylation	Trunk area right	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Left_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral density left	EFO_0007591	-	-	DNA methylation	Total bone mineral density left	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Left_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral content left	EFO_0007621	-	-	DNA methylation	Total bone mineral content left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Left_Area__cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total area left	-	-	-	DNA methylation	Total area left	Age and technical covariates	Beta values	cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral density right	EFO_0007591	-	-	DNA methylation	Total bone mineral density right	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Total bone mineral content right	EFO_0007621	-	-	DNA methylation	Total bone mineral content right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arms_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat free mass both	-	-	-	DNA methylation	Arm fat free mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	686	1	-	48	-	686	686	-	-	-	-	-
Arm_Right_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat free mass right	-	-	-	DNA methylation	Arm fat free mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Arm_Left_Fat_Free_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Arm fat free mass left	-	-	-	DNA methylation	Arm fat free mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	687	1	-	48	-	687	687	-	-	-	-	-
Legs_Fat_Free_Mass___g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat free mass both	-	-	-	DNA methylation	Leg fat free mass both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	691	1	-	48	-	691	691	-	-	-	-	-
Leg_Right_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg fat free mass right	-	-	-	DNA methylation	Leg fat free mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Trunk_Left_Fat_Free_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk fat free mass left	-	-	-	DNA methylation	Trunk fat free mass left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	680	1	-	48	-	680	680	-	-	-	-	-
Arm_Right_Total_Mass__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm total mass right	-	-	-	DNA methylation	Arm total mass right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	690	1	-	48	-	690	690	-	-	-	-	-
Arms_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm region fat both	-	-	-	DNA methylation	Arm region fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Right_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm region fat right	-	-	-	DNA methylation	Arm region fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Left_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm region fat left	-	-	-	DNA methylation	Arm region fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Legs_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg region fat both	-	-	-	DNA methylation	Leg region fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Right_Region_Fat___g___FOM1	Battram T	ARIES	-	09/04/2019	Leg region fat right	-	-	-	DNA methylation	Leg region fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Left_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg region fat left	-	-	-	DNA methylation	Leg region fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk region fat	-	-	-	DNA methylation	Trunk region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk region fat right	-	-	-	DNA methylation	Trunk region fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Trunk region fat left	-	-	-	DNA methylation	Trunk region fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Gynoid_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid region fat	-	-	-	DNA methylation	Gynoid region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total region fat	-	-	-	DNA methylation	Total region fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total region fat right	-	-	-	DNA methylation	Total region fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Left_Region_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total region fat left	-	-	-	DNA methylation	Total region fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arms_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm tissue fat both	-	-	-	DNA methylation	Arm tissue fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Right_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm tissue fat right	-	-	-	DNA methylation	Arm tissue fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Arm_Left_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Arm tissue fat left	-	-	-	DNA methylation	Arm tissue fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Legs_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue fat both	-	-	-	DNA methylation	Leg tissue fat both	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Right_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue fat right	-	-	-	DNA methylation	Leg tissue fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Leg_Left_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Leg tissue fat left	-	-	-	DNA methylation	Leg tissue fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Tissue_Fat__g____FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue fat	-	-	-	DNA methylation	Trunk tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Right_Tissue_Fat__g____FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue fat right	-	-	-	DNA methylation	Trunk tissue fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Trunk_Left_Tissue_Fat__g____FOM1	Battram T	ARIES	-	09/04/2019	Trunk tissue fat left	-	-	-	DNA methylation	Trunk tissue fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Gynoid_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Gynoid tissue fat	-	-	-	DNA methylation	Gynoid tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue fat	-	-	-	DNA methylation	Total tissue fat	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Right_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue fat right	-	-	-	DNA methylation	Total tissue fat right	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_Left_Tissue_Fat__g___FOM1	Battram T	ARIES	-	09/04/2019	Total tissue fat left	-	-	-	DNA methylation	Total tissue fat left	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	693	1	-	48	-	693	693	-	-	-	-	-
Total_T_score__FOM1	Battram T	ARIES	-	09/04/2019	Total T-score	-	-	-	DNA methylation	Total T-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Total_Z_score__FOM1	Battram T	ARIES	-	09/04/2019	Total Z-score	-	-	-	DNA methylation	Total Z-score	Age and technical covariates	Beta values		Illumina HumanMethylation450	Whole blood	-	692	1	-	48	-	692	692	-	-	-	-	-
Hip_Total_BMD__g_cm2___FOM1	Battram T	ARIES	-	09/04/2019	Hip total bone mineral density	EFO_0007702	-	-	DNA methylation	Hip total bone mineral density	Age and technical covariates	Beta values	g/cm2	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
Hip_Total_BMC__g___FOM1	Battram T	ARIES	-	09/04/2019	Hip total bone mineral content	EFO_0007621	-	-	DNA methylation	Hip total bone mineral content	Age and technical covariates	Beta values	g	Illumina HumanMethylation450	Whole blood	-	689	1	-	48	-	689	689	-	-	-	-	-
